RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1," Gibson, K",MIN,P,1,2,2,2,0,0,0,0,0,0,0,0,1,1,1,2
2," Astudillo, W",MIN,C,29,93,9,33,4,1,3,21,2,3,0,0,0.355,0.371,0.516,0.887
3," Polanco, J",MIN,SS,77,302,38,87,18,3,6,42,25,62,7,7,0.288,0.345,0.427,0.773
4," Rosario, E",MIN,LF,138,559,87,161,31,2,24,77,30,104,8,2,0.288,0.323,0.479,0.803
5," Mauer, J",MIN,1B,127,486,64,137,27,1,6,48,51,86,0,1,0.282,0.351,0.379,0.729
6," Gimenez, C",MIN,C,13,29,6,8,1,0,2,6,3,9,0,0,0.276,0.353,0.517,0.87
7," Escobar, E",MIN,SS,97,368,45,101,37,3,15,63,34,91,1,3,0.274,0.338,0.514,0.852
8," Grossman, R",MIN,RF,129,396,50,108,27,1,5,48,60,83,0,1,0.273,0.367,0.384,0.751
9," Garver, M",MIN,C,102,302,38,81,19,2,7,45,29,72,0,0,0.268,0.335,0.414,0.749
10," Cave, J",MIN,CF,91,283,54,75,16,2,13,45,18,102,2,1,0.265,0.313,0.473,0.786
11," LaMarre, R",MIN,CF,43,99,7,26,5,0,0,8,8,33,1,1,0.263,0.321,0.313,0.634
12," Forsythe, L",MIN,2B,50,178,19,46,6,0,0,14,24,40,1,0,0.258,0.356,0.292,0.648
13," Adrianza, E",MIN,SS,114,335,42,84,23,1,6,39,24,82,5,1,0.251,0.301,0.379,0.68
14," Field, J",MIN,RF,21,52,8,13,4,0,3,7,0,14,0,0,0.25,0.259,0.5,0.759
15," Petit, G",MIN,SS,26,61,7,15,2,0,0,3,6,14,3,1,0.246,0.313,0.279,0.592
16," Austin, T",MIN,1B,35,123,18,29,4,0,9,24,11,42,0,1,0.236,0.294,0.488,0.782
17," Dozier, B",MIN,2B,104,410,65,93,21,2,16,52,46,96,8,3,0.227,0.307,0.405,0.712
18," Kepler, M",MIN,RF,156,532,80,119,30,4,20,58,71,96,4,5,0.224,0.319,0.408,0.727
19," Sano, M",MIN,3B,71,266,32,53,14,0,13,41,31,115,0,0,0.199,0.281,0.398,0.679
20," Morrison, L",MIN,1B,95,318,41,59,13,0,15,39,34,80,1,0,0.186,0.276,0.368,0.644
21," Wilson, B",MIN,C,47,135,12,24,8,0,2,16,12,37,0,0,0.178,0.242,0.281,0.523
22," Buxton, B",MIN,CF,28,90,8,14,4,0,0,4,3,28,5,0,0.156,0.183,0.2,0.383
23," Castro, J",MIN,C,19,63,4,9,3,0,1,3,9,26,0,0,0.143,0.257,0.238,0.495
23," Graterol, J",MIN,C,3,7,2,1,0,0,0,0,1,0,0,0,0.143,0.25,0.143,0.393
25," Motter, T",MIN,SS,9,19,0,1,0,0,0,1,2,3,1,0,0.053,0.143,0.053,0.195
